title	major_group	minor_group	broad_group	detailed_occupation
Fish and Game Wardens (33-3031.00)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Fish and Game Wardens (33-3030)	Fish and Game Wardens (33-3031)
Parking Enforcement Workers (33-3041.00)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Parking Enforcement Workers (33-3040)	Parking Enforcement Workers (33-3041)
Police and Sheriff's Patrol Officers (33-3051.00)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Police Officers (33-3050)	Police and Sheriff's Patrol Officers (33-3051)
Police Patrol Officers (33-3051.01)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Police Officers (33-3050)	Police and Sheriff's Patrol Officers (33-3051)
Sheriffs and Deputy Sheriffs (33-3051.03)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Police Officers (33-3050)	Police and Sheriff's Patrol Officers (33-3051)
Transit and Railroad Police (33-3052.00)	Protective Service Occupations (33-0000)	Law Enforcement Workers (33-3000)	Police Officers (33-3050)	Transit and Railroad Police (33-3052)
Animal Control Workers (33-9011.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Animal Control Workers (33-9010)	Animal Control Workers (33-9011)
Private Detectives and Investigators (33-9021.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Private Detectives and Investigators (33-9020)	Private Detectives and Investigators (33-9021)
Gaming Surveillance Officers and Gaming Investigators (33-9031.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Security Guards and Gaming Surveillance Officers (33-9030)	Gaming Surveillance Officers and Gaming Investigators (33-9031)
Security Guards (33-9032.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Security Guards and Gaming Surveillance Officers (33-9030)	Security Guards (33-9032)
Crossing Guards (33-9091.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Miscellaneous Protective Service Workers (33-9090)	Crossing Guards (33-9091)
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Miscellaneous Protective Service Workers (33-9090)	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092)
Transportation Security Screeners (33-9093.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Miscellaneous Protective Service Workers (33-9090)	Transportation Security Screeners (33-9093)
Protective Service Workers, All Other (33-9099.00)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Miscellaneous Protective Service Workers (33-9090)	Protective Service Workers, All Other (33-9099)
Retail Loss Prevention Specialists (33-9099.02)	Protective Service Occupations (33-0000)	Other Protective Service Workers (33-9000)	Miscellaneous Protective Service Workers (33-9090)	Protective Service Workers, All Other (33-9099)
Chefs and Head Cooks (35-1011.00)	Food Preparation and Serving Related Occupations (35-0000)	Supervisors of Food Preparation and Serving Workers (35-1000)	Supervisors of Food Preparation and Serving Workers (35-1010)	Chefs and Head Cooks (35-1011)
First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)	Food Preparation and Serving Related Occupations (35-0000)	Supervisors of Food Preparation and Serving Workers (35-1000)	Supervisors of Food Preparation and Serving Workers (35-1010)	First-Line Supervisors of Food Preparation and Serving Workers (35-1012)
Cooks, Fast Food (35-2011.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, Fast Food (35-2011)
Cooks, Institution and Cafeteria (35-2012.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, Institution and Cafeteria (35-2012)
Cooks, Private Household (35-2013.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, Private Household (35-2013)
Cooks, Restaurant (35-2014.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, Restaurant (35-2014)
Cooks, Short Order (35-2015.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, Short Order (35-2015)
Cooks, All Other (35-2019.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Cooks (35-2010)	Cooks, All Other (35-2019)
Food Preparation Workers (35-2021.00)	Food Preparation and Serving Related Occupations (35-0000)	Cooks and Food Preparation Workers (35-2000)	Food Preparation Workers (35-2020)	Food Preparation Workers (35-2021)
Bartenders (35-3011.00)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Bartenders (35-3010)	Bartenders (35-3011)
Combined Food Preparation and Serving Workers, Including Fast Food (35-3021.00)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Fast Food and Counter Workers (35-3020)	Combined Food Preparation and Serving Workers, Including Fast Food (35-3021)
Counter Attendants, Cafeteria, Food Concession, and Coffee Shop (35-3022.00)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Fast Food and Counter Workers (35-3020)	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop (35-3022)
Baristas (35-3022.01)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Fast Food and Counter Workers (35-3020)	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop (35-3022)
Waiters and Waitresses (35-3031.00)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Waiters and Waitresses (35-3030)	Waiters and Waitresses (35-3031)
Food Servers, Nonrestaurant (35-3041.00)	Food Preparation and Serving Related Occupations (35-0000)	Food and Beverage Serving Workers (35-3000)	Food Servers, Nonrestaurant (35-3040)	Food Servers, Nonrestaurant (35-3041)
Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011.00)	Food Preparation and Serving Related Occupations (35-0000)	Other Food Preparation and Serving Related Workers (35-9000)	Dining Room and Cafeteria Attendants and Bartender Helpers (35-9010)	Dining Room and Cafeteria Attendants and Bartender Helpers (35-9011)
Dishwashers (35-9021.00)	Food Preparation and Serving Related Occupations (35-0000)	Other Food Preparation and Serving Related Workers (35-9000)	Dishwashers (35-9020)	Dishwashers (35-9021)
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop (35-9031.00)	Food Preparation and Serving Related Occupations (35-0000)	Other Food Preparation and Serving Related Workers (35-9000)	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop (35-9030)	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop (35-9031)
Food Preparation and Serving Related Workers, All Other (35-9099.00)	Food Preparation and Serving Related Occupations (35-0000)	Other Food Preparation and Serving Related Workers (35-9000)	Miscellaneous Food Preparation and Serving Related Workers (35-9090)	Food Preparation and Serving Related Workers, All Other (35-9099)
First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1000)	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1010)	First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011)
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers (37-1012.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1000)	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1010)	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers (37-1012)
Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Building Cleaning and Pest Control Workers (37-2000)	Building Cleaning Workers (37-2010)	Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011)
Maids and Housekeeping Cleaners (37-2012.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Building Cleaning and Pest Control Workers (37-2000)	Building Cleaning Workers (37-2010)	Maids and Housekeeping Cleaners (37-2012)
Building Cleaning Workers, All Other (37-2019.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Building Cleaning and Pest Control Workers (37-2000)	Building Cleaning Workers (37-2010)	Building Cleaning Workers, All Other (37-2019)
Pest Control Workers (37-2021.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Building Cleaning and Pest Control Workers (37-2000)	Pest Control Workers (37-2020)	Pest Control Workers (37-2021)
Landscaping and Groundskeeping Workers (37-3011.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Grounds Maintenance Workers (37-3000)	Grounds Maintenance Workers (37-3010)	Landscaping and Groundskeeping Workers (37-3011)
Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Grounds Maintenance Workers (37-3000)	Grounds Maintenance Workers (37-3010)	Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012)
Tree Trimmers and Pruners (37-3013.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Grounds Maintenance Workers (37-3000)	Grounds Maintenance Workers (37-3010)	Tree Trimmers and Pruners (37-3013)
Grounds Maintenance Workers, All Other (37-3019.00)	Building and Grounds Cleaning and Maintenance Occupations (37-0000)	Grounds Maintenance Workers (37-3000)	Grounds Maintenance Workers (37-3010)	Grounds Maintenance Workers, All Other (37-3019)
Gaming Supervisors (39-1011.00)	Personal Care and Service Occupations (39-0000)	Supervisors of Personal Care and Service Workers (39-1000)	First-Line Supervisors of Gaming Workers (39-1010)	Gaming Supervisors (39-1011)
Slot Supervisors (39-1012.00)	Personal Care and Service Occupations (39-0000)	Supervisors of Personal Care and Service Workers (39-1000)	First-Line Supervisors of Gaming Workers (39-1010)	Slot Supervisors (39-1012)
First-Line Supervisors of Personal Service Workers (39-1021.00)	Personal Care and Service Occupations (39-0000)	Supervisors of Personal Care and Service Workers (39-1000)	First-Line Supervisors of Personal Service Workers (39-1020)	First-Line Supervisors of Personal Service Workers (39-1021)
Spa Managers (39-1021.01)	Personal Care and Service Occupations (39-0000)	Supervisors of Personal Care and Service Workers (39-1000)	First-Line Supervisors of Personal Service Workers (39-1020)	First-Line Supervisors of Personal Service Workers (39-1021)
Animal Trainers (39-2011.00)	Personal Care and Service Occupations (39-0000)	Animal Care and Service Workers (39-2000)	Animal Trainers (39-2010)	Animal Trainers (39-2011)
Nonfarm Animal Caretakers (39-2021.00)	Personal Care and Service Occupations (39-0000)	Animal Care and Service Workers (39-2000)	Nonfarm Animal Caretakers (39-2020)	Nonfarm Animal Caretakers (39-2021)
Gaming Dealers (39-3011.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Gaming Services Workers (39-3010)	Gaming Dealers (39-3011)
Gaming and Sports Book Writers and Runners (39-3012.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Gaming Services Workers (39-3010)	Gaming and Sports Book Writers and Runners (39-3012)
Gaming Service Workers, All Other (39-3019.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Gaming Services Workers (39-3010)	Gaming Service Workers, All Other (39-3019)
Motion Picture Projectionists (39-3021.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Motion Picture Projectionists (39-3020)	Motion Picture Projectionists (39-3021)
Ushers, Lobby Attendants, and Ticket Takers (39-3031.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Ushers, Lobby Attendants, and Ticket Takers (39-3030)	Ushers, Lobby Attendants, and Ticket Takers (39-3031)
Amusement and Recreation Attendants (39-3091.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Miscellaneous Entertainment Attendants and Related Workers (39-3090)	Amusement and Recreation Attendants (39-3091)
Costume Attendants (39-3092.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Miscellaneous Entertainment Attendants and Related Workers (39-3090)	Costume Attendants (39-3092)
Locker Room, Coatroom, and Dressing Room Attendants (39-3093.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Miscellaneous Entertainment Attendants and Related Workers (39-3090)	Locker Room, Coatroom, and Dressing Room Attendants (39-3093)
Entertainment Attendants and Related Workers, All Other (39-3099.00)	Personal Care and Service Occupations (39-0000)	Entertainment Attendants and Related Workers (39-3000)	Miscellaneous Entertainment Attendants and Related Workers (39-3090)	Entertainment Attendants and Related Workers, All Other (39-3099)
Embalmers (39-4011.00)	Personal Care and Service Occupations (39-0000)	Funeral Service Workers (39-4000)	Embalmers (39-4010)	Embalmers (39-4011)
Funeral Attendants (39-4021.00)	Personal Care and Service Occupations (39-0000)	Funeral Service Workers (39-4000)	Funeral Attendants (39-4020)	Funeral Attendants (39-4021)
Morticians, Undertakers, and Funeral Directors (39-4031.00)	Personal Care and Service Occupations (39-0000)	Funeral Service Workers (39-4000)	Morticians, Undertakers, and Funeral Directors (39-4030)	Morticians, Undertakers, and Funeral Directors (39-4031)
Barbers (39-5011.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Barbers, Hairdressers, Hairstylists and Cosmetologists (39-5010)	Barbers (39-5011)
Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Barbers, Hairdressers, Hairstylists and Cosmetologists (39-5010)	Hairdressers, Hairstylists, and Cosmetologists (39-5012)
Makeup Artists, Theatrical and Performance (39-5091.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Miscellaneous Personal Appearance Workers (39-5090)	Makeup Artists, Theatrical and Performance (39-5091)
Manicurists and Pedicurists (39-5092.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Miscellaneous Personal Appearance Workers (39-5090)	Manicurists and Pedicurists (39-5092)
Shampooers (39-5093.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Miscellaneous Personal Appearance Workers (39-5090)	Shampooers (39-5093)
Skincare Specialists (39-5094.00)	Personal Care and Service Occupations (39-0000)	Personal Appearance Workers (39-5000)	Miscellaneous Personal Appearance Workers (39-5090)	Skincare Specialists (39-5094)
Baggage Porters and Bellhops (39-6011.00)	Personal Care and Service Occupations (39-0000)	Baggage Porters, Bellhops, and Concierges (39-6000)	Baggage Porters, Bellhops, and Concierges (39-6010)	Baggage Porters and Bellhops (39-6011)
Concierges (39-6012.00)	Personal Care and Service Occupations (39-0000)	Baggage Porters, Bellhops, and Concierges (39-6000)	Baggage Porters, Bellhops, and Concierges (39-6010)	Concierges (39-6012)
Tour Guides and Escorts (39-7011.00)	Personal Care and Service Occupations (39-0000)	Tour and Travel Guides (39-7000)	Tour and Travel Guides (39-7010)	Tour Guides and Escorts (39-7011)
Travel Guides (39-7012.00)	Personal Care and Service Occupations (39-0000)	Tour and Travel Guides (39-7000)	Tour and Travel Guides (39-7010)	Travel Guides (39-7012)
Childcare Workers (39-9011.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Childcare Workers (39-9010)	Childcare Workers (39-9011)
Nannies (39-9011.01)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Childcare Workers (39-9010)	Childcare Workers (39-9011)
Personal Care Aides (39-9021.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Personal Care Aides (39-9020)	Personal Care Aides (39-9021)
Fitness Trainers and Aerobics Instructors (39-9031.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Recreation and Fitness Workers (39-9030)	Fitness Trainers and Aerobics Instructors (39-9031)
Recreation Workers (39-9032.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Recreation and Fitness Workers (39-9030)	Recreation Workers (39-9032)
Residential Advisors (39-9041.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Residential Advisors (39-9040)	Residential Advisors (39-9041)
Personal Care and Service Workers, All Other (39-9099.00)	Personal Care and Service Occupations (39-0000)	Other Personal Care and Service Workers (39-9000)	Miscellaneous Personal Care and Service Workers (39-9090)	Personal Care and Service Workers, All Other (39-9099)
First-Line Supervisors of Retail Sales Workers (41-1011.00)	Sales and Related Occupations (41-0000)	Supervisors of Sales Workers (41-1000)	First-Line Supervisors of Sales Workers (41-1010)	First-Line Supervisors of Retail Sales Workers (41-1011)
First-Line Supervisors of Non-Retail Sales Workers (41-1012.00)	Sales and Related Occupations (41-0000)	Supervisors of Sales Workers (41-1000)	First-Line Supervisors of Sales Workers (41-1010)	First-Line Supervisors of Non-Retail Sales Workers (41-1012)
Cashiers (41-2011.00)	Sales and Related Occupations (41-0000)	Retail Sales Workers (41-2000)	Cashiers (41-2010)	Cashiers (41-2011)
Gaming Change Persons and Booth Cashiers (41-2012.00)	Sales and Related Occupations (41-0000)	Retail Sales Workers (41-2000)	Cashiers (41-2010)	Gaming Change Persons and Booth Cashiers (41-2012)
Counter and Rental Clerks (41-2021.00)	Sales and Related Occupations (41-0000)	Retail Sales Workers (41-2000)	Counter and Rental Clerks and Parts Salespersons (41-2020)	Counter and Rental Clerks (41-2021)
Parts Salespersons (41-2022.00)	Sales and Related Occupations (41-0000)	Retail Sales Workers (41-2000)	Counter and Rental Clerks and Parts Salespersons (41-2020)	Parts Salespersons (41-2022)
Retail Salespersons (41-2031.00)	Sales and Related Occupations (41-0000)	Retail Sales Workers (41-2000)	Retail Salespersons (41-2030)	Retail Salespersons (41-2031)
Advertising Sales Agents (41-3011.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Advertising Sales Agents (41-3010)	Advertising Sales Agents (41-3011)
Insurance Sales Agents (41-3021.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Insurance Sales Agents (41-3020)	Insurance Sales Agents (41-3021)
Securities, Commodities, and Financial Services Sales Agents (41-3031.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Securities, Commodities, and Financial Services Sales Agents (41-3030)	Securities, Commodities, and Financial Services Sales Agents (41-3031)
Sales Agents, Securities and Commodities (41-3031.01)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Securities, Commodities, and Financial Services Sales Agents (41-3030)	Securities, Commodities, and Financial Services Sales Agents (41-3031)
Sales Agents, Financial Services (41-3031.02)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Securities, Commodities, and Financial Services Sales Agents (41-3030)	Securities, Commodities, and Financial Services Sales Agents (41-3031)
Securities and Commodities Traders (41-3031.03)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Securities, Commodities, and Financial Services Sales Agents (41-3030)	Securities, Commodities, and Financial Services Sales Agents (41-3031)
Travel Agents (41-3041.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Travel Agents (41-3040)	Travel Agents (41-3041)
Sales Representatives, Services, All Other (41-3099.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Miscellaneous Sales Representatives, Services (41-3090)	Sales Representatives, Services, All Other (41-3099)
Energy Brokers (41-3099.01)	Sales and Related Occupations (41-0000)	Sales Representatives, Services (41-3000)	Miscellaneous Sales Representatives, Services (41-3090)	Sales Representatives, Services, All Other (41-3099)
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Wholesale and Manufacturing (41-4000)	Sales Representatives, Wholesale and Manufacturing (41-4010)	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011)
Solar Sales Representatives and Assessors (41-4011.07)	Sales and Related Occupations (41-0000)	Sales Representatives, Wholesale and Manufacturing (41-4000)	Sales Representatives, Wholesale and Manufacturing (41-4010)	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011)
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)	Sales and Related Occupations (41-0000)	Sales Representatives, Wholesale and Manufacturing (41-4000)	Sales Representatives, Wholesale and Manufacturing (41-4010)	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012)
Demonstrators and Product Promoters (41-9011.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Models, Demonstrators, and Product Promoters (41-9010)	Demonstrators and Product Promoters (41-9011)
Models (41-9012.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Models, Demonstrators, and Product Promoters (41-9010)	Models (41-9012)
Real Estate Brokers (41-9021.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Real Estate Brokers and Sales Agents (41-9020)	Real Estate Brokers (41-9021)
Real Estate Sales Agents (41-9022.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Real Estate Brokers and Sales Agents (41-9020)	Real Estate Sales Agents (41-9022)
Sales Engineers (41-9031.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Sales Engineers (41-9030)	Sales Engineers (41-9031)
Telemarketers (41-9041.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Telemarketers (41-9040)	Telemarketers (41-9041)
Door-To-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Miscellaneous Sales and Related Workers (41-9090)	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091)
Sales and Related Workers, All Other (41-9099.00)	Sales and Related Occupations (41-0000)	Other Sales and Related Workers (41-9000)	Miscellaneous Sales and Related Workers (41-9090)	Sales and Related Workers, All Other (41-9099)
First-Line Supervisors of Office and Administrative Support Workers (43-1011.00)	Office and Administrative Support Occupations (43-0000)	Supervisors of Office and Administrative Support Workers (43-1000)	First-Line Supervisors of Office and Administrative Support Workers (43-1010)	First-Line Supervisors of Office and Administrative Support Workers (43-1011)
Switchboard Operators, Including Answering Service (43-2011.00)	Office and Administrative Support Occupations (43-0000)	Communications Equipment Operators (43-2000)	Switchboard Operators, Including Answering Service (43-2010)	Switchboard Operators, Including Answering Service (43-2011)
Telephone Operators (43-2021.00)	Office and Administrative Support Occupations (43-0000)	Communications Equipment Operators (43-2000)	Telephone Operators (43-2020)	Telephone Operators (43-2021)
Communications Equipment Operators, All Other (43-2099.00)	Office and Administrative Support Occupations (43-0000)	Communications Equipment Operators (43-2000)	Miscellaneous Communications Equipment Operators (43-2090)	Communications Equipment Operators, All Other (43-2099)
Bill and Account Collectors (43-3011.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Bill and Account Collectors (43-3010)	Bill and Account Collectors (43-3011)
Billing and Posting Clerks (43-3021.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Billing and Posting Clerks (43-3020)	Billing and Posting Clerks (43-3021)
Statement Clerks (43-3021.01)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Billing and Posting Clerks (43-3020)	Billing and Posting Clerks (43-3021)
Billing, Cost, and Rate Clerks (43-3021.02)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Billing and Posting Clerks (43-3020)	Billing and Posting Clerks (43-3021)
Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Bookkeeping, Accounting, and Auditing Clerks (43-3030)	Bookkeeping, Accounting, and Auditing Clerks (43-3031)
Gaming Cage Workers (43-3041.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Gaming Cage Workers (43-3040)	Gaming Cage Workers (43-3041)
Payroll and Timekeeping Clerks (43-3051.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Payroll and Timekeeping Clerks (43-3050)	Payroll and Timekeeping Clerks (43-3051)
Procurement Clerks (43-3061.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Procurement Clerks (43-3060)	Procurement Clerks (43-3061)
Tellers (43-3071.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Tellers (43-3070)	Tellers (43-3071)
Financial Clerks, All Other (43-3099.00)	Office and Administrative Support Occupations (43-0000)	Financial Clerks (43-3000)	Miscellaneous Financial Clerks (43-3090)	Financial Clerks, All Other (43-3099)
Brokerage Clerks (43-4011.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Brokerage Clerks (43-4010)	Brokerage Clerks (43-4011)
Correspondence Clerks (43-4021.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Correspondence Clerks (43-4020)	Correspondence Clerks (43-4021)
Court, Municipal, and License Clerks (43-4031.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Court, Municipal, and License Clerks (43-4030)	Court, Municipal, and License Clerks (43-4031)
Court Clerks (43-4031.01)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Court, Municipal, and License Clerks (43-4030)	Court, Municipal, and License Clerks (43-4031)
Municipal Clerks (43-4031.02)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Court, Municipal, and License Clerks (43-4030)	Court, Municipal, and License Clerks (43-4031)
License Clerks (43-4031.03)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Court, Municipal, and License Clerks (43-4030)	Court, Municipal, and License Clerks (43-4031)
Credit Authorizers, Checkers, and Clerks (43-4041.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Credit Authorizers, Checkers, and Clerks (43-4040)	Credit Authorizers, Checkers, and Clerks (43-4041)
Credit Authorizers (43-4041.01)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Credit Authorizers, Checkers, and Clerks (43-4040)	Credit Authorizers, Checkers, and Clerks (43-4041)
Credit Checkers (43-4041.02)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Credit Authorizers, Checkers, and Clerks (43-4040)	Credit Authorizers, Checkers, and Clerks (43-4041)
Customer Service Representatives (43-4051.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Customer Service Representatives (43-4050)	Customer Service Representatives (43-4051)
Patient Representatives (43-4051.03)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Customer Service Representatives (43-4050)	Customer Service Representatives (43-4051)
Eligibility Interviewers, Government Programs (43-4061.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Eligibility Interviewers, Government Programs (43-4060)	Eligibility Interviewers, Government Programs (43-4061)
File Clerks (43-4071.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	File Clerks (43-4070)	File Clerks (43-4071)
Hotel, Motel, and Resort Desk Clerks (43-4081.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Hotel, Motel, and Resort Desk Clerks (43-4080)	Hotel, Motel, and Resort Desk Clerks (43-4081)
Interviewers, Except Eligibility and Loan (43-4111.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Interviewers, Except Eligibility and Loan (43-4110)	Interviewers, Except Eligibility and Loan (43-4111)
Library Assistants, Clerical (43-4121.00)	Office and Administrative Support Occupations (43-0000)	Information and Record Clerks (43-4000)	Library Assistants, Clerical (43-4120)	Library Assistants, Clerical (43-4121)
